"Id";"Designador";"Pacote";"Quantidade";"Designação";"Fornecedor e referência";
1;"Regulador de Tensao ";"TO170P1524X483-6N";1;"LM2596S-5";;;
2;"Inductor";"L_Axial_L5.3mm_D2.2mm_P2.54mm_Vertical_Vishay_IM-1";1;"33uF";;;
3;"Capacitor ";"C_Rect_L11.5mm_W4.3mm_P10.00mm_MKT";1;"220nF";;;
4;"J5,J4,J6,J7,J2,J3";"PinSocket_1x01_P2.54mm_Vertical";6;"Conn_01x01_Female";;;
5;"R4,R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"1k";;;
6;"U2";"SOT-23-6_Handsoldering";1;"DW01";;;
7;"S2";"TACK_SWITCH_3X4X2_1";1;"BTN-0";;;
8;"S1";"TACK_SWITCH_3X4X2_1";1;"RESET";;;
9;"U1";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"TP4056";;;
10;"R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"0R";;;
11;"REF**";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"Aosong_DHT11_5.5x12.0_P2.54mm";;;
12;"C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
13;",,,";"";4;"";;;
14;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED";;;
15;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
16;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
17;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
18;"U3";"SOT-23-6_Handsoldering";1;"FS8205A";;;
19;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
20;"REF**";"BatteryHolder_MPD_BH-18650-PC2";1;"Bateria 18650";;;
21;"REF**";"AMASS_XT30U-F_1x02_P5.0mm_Vertical";1;"Conector da Alimentação";;;
22;"Capacitor ";"C_Rect_L11.5mm_W4.3mm_P10.00mm_MKT";1;"680nF";;;
23;"J1";"tp4056_USB_Micro-B_Molex_47346-0001_fix";1;"USB_B_Micro";;;
24;"JP2,JP3";"HDR1X18_1";2;"Header 18";;;
